PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, RDSD
Station name, Santo_DoDRCR2004
Begin Date, 2012-06-15
End Date, 2019-07-31
Release Date, 2019-08-02
Source file, RDSD.cwu.nam08.pos
Offset from source file, 0.81 mm North, 11.90 mm East, 3.16 mm Vertical
Reference position, 18.4613974205 North Latitude, -69.9113229501 East Longitude, -9.18318 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2018-02-16,9.53, 84.61, -4.13, 1.72, 1.76, 8.1, suppf,
2018-02-17,8.72, 87.45, 9.00, 1.91, 2.21, 9.13, suppf,
2018-02-18,10.44, 84.18, 3.26, 1.78, 1.92, 8.47, suppf,
2018-02-19,8.82, 82.44, 0.49, 1.67, 1.85, 8.02, suppf,
2018-02-20,8.00, 83.94, -1.60, 1.65, 1.75, 7.8, suppf,
2018-02-21,8.33, 84.90, 0.23, 1.67, 1.81, 7.97, suppf,
2018-02-22,6.77, 81.53, -13.19, 1.68, 1.83, 8.06, suppf,
2018-02-23,10.56, 84.28, 2.12, 1.82, 1.94, 9.27, suppf,
2018-02-24,9.98, 83.96, 2.77, 1.79, 2.06, 8.88, suppf,
2018-02-25,7.89, 83.96, -8.54, 1.71, 1.83, 8.15, suppf,
2018-02-26,8.13, 82.85, 0.03, 1.66, 1.83, 7.92, suppf,
2018-02-27,7.66, 84.20, -7.75, 1.66, 1.8, 7.79, suppf,
2018-02-28,9.08, 83.23, -5.88, 2.08, 2.08, 10.19, suppf,
2018-03-01,7.38, 84.27, 0.51, 1.67, 1.79, 7.93, suppf,
2018-03-02,7.00, 84.32, 2.84, 1.67, 1.8, 7.95, suppf,
2018-03-03,8.17, 84.50, 1.27, 1.63, 1.75, 7.74, suppf,
2018-03-04,7.62, 84.16, 2.11, 1.62, 1.75, 7.65, suppf,
2018-03-05,8.59, 82.54, 2.06, 1.63, 1.77, 7.73, suppf,
2018-03-06,8.66, 83.83, 2.03, 1.63, 1.78, 7.87, suppf,
2018-03-07,8.41, 84.43, -1.84, 1.64, 1.77, 7.72, suppf,
2018-03-08,9.34, 83.59, -11.39, 1.71, 1.94, 8.12, suppf,
2018-03-09,9.41, 84.41, -1.92, 1.65, 1.81, 7.82, suppf,
2018-03-10,8.17, 83.97, -0.66, 1.63, 1.78, 7.79, suppf,
2018-03-11,6.43, 85.59, -1.50, 1.67, 1.86, 8.02, suppf,
2018-03-12,7.71, 84.20, -1.77, 1.64, 1.8, 7.89, suppf,
2018-03-13,8.95, 85.63, 4.56, 1.62, 1.77, 7.65, suppf,
2018-03-14,8.64, 86.44, 9.34, 1.64, 1.84, 7.9, suppf,
2018-03-15,9.01, 85.56, 6.82, 1.64, 1.8, 7.88, suppf,
2018-03-16,8.94, 84.04, -4.46, 1.63, 1.78, 7.79, suppf,
2018-03-17,10.51, 85.56, 2.73, 1.62, 1.77, 7.73, suppf,
2018-03-18,10.32, 83.68, 10.03, 1.62, 1.79, 7.72, suppf,
2018-03-19,10.15, 84.74, 4.70, 1.62, 1.78, 7.78, suppf,
2018-03-20,10.41, 84.46, 4.53, 1.62, 1.75, 7.66, suppf,
2018-03-21,9.69, 85.76, 7.49, 1.7, 1.88, 8.13, suppf,
2018-03-22,8.60, 85.11, -1.16, 1.67, 1.83, 7.97, suppf,
2018-03-23,7.26, 86.31, -13.54, 1.93, 1.94, 9.07, suppf,
2018-03-24,10.53, 85.18, 3.74, 1.69, 1.82, 8.14, suppf,
2018-03-25,9.62, 83.81, 4.59, 1.6, 1.73, 7.64, suppf,
2018-03-26,7.77, 84.11, 0.24, 1.88, 1.99, 9.29, suppf,
2018-03-27,9.02, 83.09, 8.30, 1.69, 1.86, 8.25, suppf,
2018-03-28,7.24, 82.85, -3.04, 1.6, 1.73, 7.61, suppf,
2018-03-29,8.94, 84.39, 7.21, 1.6, 1.73, 7.61, suppf,
2018-03-30,9.51, 83.95, 8.74, 1.59, 1.72, 7.55, suppf,
2018-03-31,8.53, 85.71, 11.59, 1.6, 1.72, 7.6, suppf,
2018-04-01,10.26, 85.89, 4.13, 1.61, 1.74, 7.67, suppf,
2018-04-02,10.70, 85.19, 6.89, 1.62, 1.74, 7.69, suppf,
2018-04-03,8.53, 84.25, 10.75, 1.67, 1.84, 7.96, suppf,
2018-04-04,9.12, 87.20, 2.50, 1.69, 1.84, 8.14, suppf,
2018-04-05,10.74, 87.53, 13.65, 1.67, 1.77, 8.13, suppf,
2018-04-06,9.70, 86.56, 10.10, 1.72, 1.84, 8.36, suppf,
2018-04-07,8.18, 85.16, -4.94, 1.61, 1.74, 7.67, suppf,
2018-04-08,11.03, 86.45, 4.17, 1.63, 1.79, 7.73, suppf,
2018-04-09,11.36, 86.43, 8.82, 1.63, 1.78, 7.93, suppf,
2018-04-10,11.14, 85.69, 12.08, 1.7, 1.87, 8.05, suppf,
2018-04-11,8.59, 84.14, 7.73, 1.61, 1.72, 7.62, suppf,
2018-04-12,11.45, 85.08, 9.86, 1.63, 1.8, 7.84, suppf,
2018-04-13,10.14, 85.82, -6.00, 2.06, 2, 9.8, suppf,
2018-04-14,9.38, 86.67, 3.13, 1.67, 1.83, 7.98, suppf,
2018-04-15,11.96, 87.00, -2.76, 1.65, 1.85, 7.98, suppf,
2018-04-16,10.54, 86.56, 6.33, 1.63, 1.76, 7.72, suppf,
2018-04-17,7.43, 85.84, 17.17, 1.98, 2.16, 9.21, suppf,
2018-04-18,8.16, 88.52, 16.25, 1.71, 1.96, 8.1, suppf,
2018-04-19,9.04, 86.93, 8.20, 1.74, 1.88, 8.33, suppf,
2018-04-20,8.54, 87.64, 11.36, 1.64, 1.83, 7.95, suppf,
2018-04-21,8.87, 86.86, 6.09, 1.64, 1.77, 7.81, suppf,
2018-04-22,7.46, 87.81, -0.59, 1.75, 1.86, 8.42, suppf,
2018-04-23,9.09, 88.08, 5.21, 1.85, 1.87, 8.86, suppf,
2018-04-24,10.61, 88.08, 9.22, 1.64, 1.81, 7.84, suppf,
2018-04-25,10.52, 87.44, 7.55, 1.65, 1.85, 7.81, suppf,
2018-04-26,11.11, 86.06, 6.96, 1.59, 1.75, 7.59, suppf,
2018-04-27,8.51, 90.36, 9.89, 1.81, 2.14, 8.73, suppf,
2018-04-28,7.84, 86.81, 9.35, 1.59, 1.73, 7.52, suppf,
2018-04-29,9.38, 86.48, 9.68, 1.62, 1.83, 7.77, suppf,
2018-04-30,9.86, 85.67, 4.67, 1.66, 1.77, 7.96, suppf,
2018-05-01,9.64, 86.69, 14.14, 1.72, 1.83, 8.39, suppf,
2018-05-02,7.89, 84.73, 9.14, 1.64, 1.77, 7.75, suppf,
2018-05-03,9.75, 89.19, -2.10, 1.64, 1.8, 7.72, suppf,
2018-05-04,9.74, 84.90, 7.76, 1.75, 1.93, 8.41, suppf,
2018-05-05,7.54, 88.12, -6.38, 1.7, 1.93, 8.07, suppf,
2018-05-06,9.68, 86.87, 2.34, 1.73, 1.85, 8.15, suppf,
2018-05-07,9.55, 84.67, 5.22, 1.62, 1.85, 7.72, suppf,
2018-05-08,9.63, 87.30, 8.98, 1.65, 1.88, 7.88, suppf,
2018-05-09,10.62, 88.10, 10.38, 1.71, 1.9, 7.97, suppf,
2018-05-10,7.87, 87.59, 9.73, 1.6, 1.74, 7.48, suppf,
2018-05-11,8.73, 86.95, 13.77, 1.68, 1.9, 8.1, suppf,
2018-05-12,8.81, 86.04, 12.61, 1.6, 1.77, 7.63, suppf,
2018-05-13,10.55, 87.02, 16.26, 1.65, 1.79, 7.65, suppf,
2018-05-14,9.12, 88.19, 3.09, 1.64, 1.8, 7.71, suppf,
2018-05-15,6.68, 88.10, 1.13, 1.72, 2.06, 8.24, suppf,
2018-05-16,10.24, 86.49, 13.34, 1.69, 1.85, 8.06, suppf,
2018-05-17,10.43, 86.92, 17.55, 1.63, 1.8, 7.73, suppf,
2018-05-18,7.26, 87.88, 19.15, 1.9, 1.92, 8.65, suppf,
2018-05-19,7.87, 85.51, 15.01, 1.82, 1.86, 8.59, suppf,
2018-05-20,4.68, 88.84, 6.98, 1.68, 1.82, 7.98, suppf,
2018-05-21,7.59, 85.91, 17.07, 1.74, 1.88, 8.08, suppf,
2018-05-22,8.11, 88.50, 16.74, 1.74, 1.86, 8.04, suppf,
2018-05-23,7.99, 88.39, 8.75, 1.62, 1.76, 7.57, suppf,
2018-05-24,6.76, 84.88, 11.25, 1.65, 1.77, 7.73, suppf,
2018-05-25,9.46, 87.22, 4.26, 1.62, 1.76, 7.56, suppf,
2018-05-26,9.52, 87.16, 10.55, 1.72, 1.91, 7.81, suppf,
2018-05-27,10.58, 85.94, 10.15, 1.6, 1.74, 7.39, suppf,
2018-05-28,7.69, 87.99, 12.81, 1.61, 1.78, 7.55, suppf,
2018-05-29,9.94, 86.31, 9.64, 1.62, 1.79, 7.69, suppf,
2018-05-30,7.25, 86.90, 18.91, 1.72, 1.85, 8.13, suppf,
2018-05-31,8.76, 85.78, -1.97, 1.65, 1.86, 7.77, suppf,
2018-06-01,8.84, 88.31, 8.49, 1.66, 1.82, 7.74, suppf,
2018-06-02,7.64, 86.81, 7.00, 1.61, 1.76, 7.5, suppf,
2018-06-03,10.04, 87.05, 15.17, 1.72, 1.87, 8.09, suppf,
2018-06-04,11.33, 87.59, 5.47, 1.6, 1.75, 7.43, suppl,
2018-06-05,9.06, 87.51, 8.56, 1.62, 1.77, 7.51, suppf,
2018-06-06,9.41, 88.24, 9.04, 1.61, 1.76, 7.39, suppl,
2018-06-07,9.04, 87.66, 2.03, 1.63, 1.78, 7.64, suppf,
2018-06-08,10.41, 86.47, 6.59, 1.68, 1.9, 8.06, suppf,
2018-06-09,7.69, 86.35, 13.21, 1.63, 1.84, 7.66, suppf,
2018-06-10,8.27, 87.15, 12.51, 1.66, 1.81, 7.77, suppf,
2018-06-11,7.59, 85.56, 3.03, 1.65, 1.81, 7.74, suppf,
2018-06-12,10.16, 85.78, 6.35, 1.67, 1.92, 7.86, suppf,
2018-06-13,8.16, 87.35, 0.70, 1.66, 1.9, 7.75, suppf,
2018-06-14,8.58, 87.51, 5.78, 1.59, 1.78, 7.48, suppf,
2018-06-15,10.19, 88.20, 6.66, 1.63, 1.86, 7.68, suppf,
2018-06-16,10.72, 87.24, 2.32, 1.61, 1.77, 7.48, suppf,
2018-06-17,10.38, 88.55, 9.33, 1.61, 1.79, 7.55, suppf,
2018-06-18,8.92, 87.44, 16.70, 1.61, 1.98, 7.67, suppf,
2018-06-19,9.02, 86.58, 15.63, 1.61, 1.78, 7.49, suppf,
2018-06-20,9.26, 86.04, 3.99, 1.8, 2.02, 8.52, suppf,
2018-06-21,7.70, 88.59, 1.65, 1.66, 1.91, 7.89, suppf,
2018-06-22,8.81, 88.91, 2.96, 1.66, 1.82, 7.92, suppf,
2018-06-23,10.55, 87.91, 17.32, 1.76, 2.02, 8.65, suppf,
2018-06-24,10.38, 87.13, 12.92, 1.65, 1.81, 7.67, suppf,
2018-06-25,8.82, 89.96, -7.29, 1.81, 1.9, 8.54, suppf,
2018-06-26,8.54, 88.21, -1.25, 1.62, 1.78, 7.57, suppf,
2018-06-27,9.08, 89.80, 5.38, 1.62, 1.78, 7.61, suppf,
2018-06-28,9.41, 90.01, 8.27, 1.63, 1.86, 7.75, suppf,
2018-06-29,9.70, 87.05, -4.59, 1.69, 1.77, 7.95, suppf,
2018-06-30,11.82, 88.28, 11.29, 1.61, 1.79, 7.54, suppf,
2018-07-01,10.12, 88.53, 13.79, 1.61, 1.78, 7.51, suppf,
2018-07-02,9.87, 89.14, 6.95, 1.6, 1.77, 7.51, suppf,
2018-07-03,9.78, 89.29, 3.48, 1.68, 1.79, 7.85, suppf,
2018-07-04,10.40, 88.08, 12.13, 1.62, 1.77, 7.56, suppf,
2018-07-05,9.55, 88.77, 10.71, 1.61, 1.75, 7.5, suppf,
2018-07-06,10.73, 89.68, 16.84, 1.62, 1.78, 7.65, suppf,
2018-07-07,8.02, 88.27, 2.53, 1.66, 1.85, 7.73, suppf,
2018-07-08,9.20, 91.85, 7.63, 1.86, 2.22, 8.64, suppf,
2018-07-09,10.99, 90.05, 11.24, 1.97, 2.35, 9.14, suppf,
2018-07-10,13.48, 90.12, 13.03, 1.99, 2.18, 9.11, suppf,
2018-07-11,9.31, 87.69, -2.21, 1.62, 1.76, 7.59, suppf,
2018-07-12,10.96, 87.56, 7.27, 1.78, 2.07, 8.53, suppf,
2018-07-13,12.49, 86.97, 18.70, 1.61, 1.75, 7.48, suppf,
2018-07-14,10.12, 88.24, 12.79, 1.68, 1.75, 7.75, suppf,
2018-07-15,12.20, 88.09, 15.52, 1.65, 1.74, 7.73, suppf,
2018-07-16,9.23, 91.90, 8.61, 1.96, 2.25, 9.32, suppf,
2018-07-17,9.86, 91.33, 11.87, 1.69, 1.96, 8.03, suppf,
2018-07-18,10.57, 89.23, 9.39, 1.64, 1.76, 7.53, suppf,
2018-07-19,10.92, 90.71, 10.70, 1.81, 2.14, 8.48, suppf,
2018-07-20,9.95, 89.98, 6.58, 1.63, 1.79, 7.53, suppf,
2018-07-21,10.48, 88.77, 10.85, 1.64, 1.78, 7.62, suppf,
2018-07-22,10.36, 89.22, 10.29, 1.61, 1.75, 7.52, suppf,
2018-07-23,8.09, 89.75, 0.52, 1.67, 1.8, 7.73, suppf,
2018-07-24,8.76, 89.37, 5.68, 1.7, 1.91, 7.92, suppf,
2018-07-25,9.74, 89.82, 9.36, 1.62, 1.75, 7.52, suppf,
2018-07-26,12.90, 90.07, 6.20, 1.64, 1.78, 7.74, suppf,
2018-07-27,9.91, 91.19, -1.62, 1.62, 1.79, 7.62, suppf,
2018-07-28,10.00, 91.73, 3.08, 1.62, 1.76, 7.55, suppf,
2018-07-29,11.55, 90.08, 5.98, 1.81, 2.02, 8.7, suppf,
2018-07-30,10.57, 89.28, 13.85, 1.68, 1.84, 7.86, suppf,
2018-07-31,11.00, 89.74, 6.40, 1.7, 1.95, 8.09, suppf,
2018-08-01,10.47, 89.18, 13.38, 1.97, 2.4, 9.25, suppf,
2018-08-02,11.71, 90.79, 11.24, 1.66, 1.98, 8, suppf,
2018-08-03,9.88, 89.95, -7.44, 1.65, 1.84, 7.8, suppf,
2018-08-04,11.62, 89.75, 4.85, 1.85, 2.21, 8.48, suppf,
2018-08-05,10.89, 88.79, -4.76, 1.72, 1.85, 8.07, suppf,
2018-08-06,10.28, 89.99, 4.46, 1.61, 1.75, 7.54, suppf,
2018-08-07,10.04, 90.01, 5.24, 1.61, 1.76, 7.5, suppf,
2018-08-08,11.44, 88.98, 10.45, 1.61, 1.75, 7.53, suppf,
2018-08-09,10.62, 90.13, 10.57, 1.61, 1.79, 7.69, suppf,
2018-08-10,12.41, 89.73, 3.01, 1.65, 1.78, 7.8, suppf,
2018-08-11,12.99, 90.33, 9.68, 1.7, 1.84, 7.91, suppf,
2018-08-12,12.35, 90.37, 10.30, 1.8, 2.06, 8.69, suppf,
2018-08-13,9.23, 93.65, 2.41, 1.93, 2.32, 8.98, suppf,
2018-08-14,11.19, 91.56, 10.75, 1.76, 2, 8.38, suppf,
2018-08-15,11.67, 90.95, 15.49, 1.61, 1.78, 7.71, suppf,
2018-08-16,12.84, 90.26, 3.85, 1.79, 2.13, 8.35, suppf,
2018-08-17,13.26, 90.40, 21.13, 1.74, 2.1, 8.56, suppf,
2018-08-18,9.16, 89.05, 3.15, 1.81, 2.08, 8.58, suppf,
2018-08-19,10.41, 90.73, 12.26, 1.68, 1.83, 7.74, suppf,
2018-08-20,12.32, 90.47, 2.81, 1.7, 1.88, 8.01, suppf,
2018-08-21,10.78, 89.88, 1.84, 1.75, 2.05, 8.27, suppf,
2018-08-22,10.96, 91.26, 10.74, 1.66, 1.81, 7.84, suppf,
2018-08-23,11.41, 90.93, 11.60, 1.66, 1.82, 7.9, suppf,
2018-08-24,11.90, 91.00, 13.97, 1.74, 2.02, 8.28, suppf,
2018-08-25,9.19, 91.52, 0.41, 1.63, 1.75, 7.59, suppf,
2018-08-26,13.32, 87.05, 17.84, 1.69, 1.96, 8.18, suppf,
2018-08-27,8.05, 88.75, 0.97, 1.8, 2.02, 8.4, suppf,
2018-08-28,8.70, 92.49, 5.72, 1.74, 1.93, 8.23, suppf,
2018-08-29,10.51, 92.33, 12.56, 1.94, 2.47, 9.09, suppf,
2018-08-30,9.03, 91.67, 6.70, 1.89, 2.24, 8.78, suppf,
2018-08-31,9.94, 90.00, 13.24, 1.62, 1.78, 7.61, suppf,
2018-09-01,9.52, 93.48, 12.91, 1.6, 1.74, 7.48, suppf,
2018-09-02,10.75, 91.78, -2.44, 1.92, 2.26, 8.99, suppf,
2018-09-03,11.76, 88.04, 15.40, 1.82, 2.04, 8.58, suppf,
2018-09-04,7.87, 91.14, 19.51, 1.89, 1.96, 8.71, suppf,
2018-09-05,10.16, 91.98, 13.46, 1.63, 1.77, 7.63, suppf,
2018-09-06,9.10, 94.31, 10.72, 1.65, 1.82, 7.61, suppf,
2018-09-07,6.71, 90.28, 9.52, 1.73, 1.99, 8.16, suppf,
2018-09-08,10.38, 93.11, 8.27, 1.62, 1.76, 7.6, suppf,
2018-09-09,6.84, 94.11, 5.45, 1.65, 1.79, 7.71, suppf,
2018-09-10,9.61, 91.63, 4.98, 1.73, 1.89, 8.11, suppf,
2018-09-11,11.37, 90.13, 11.73, 1.68, 1.82, 7.94, suppf,
2018-09-12,8.41, 93.56, 22.19, 1.68, 1.81, 7.83, suppf,
2018-09-13,10.15, 90.39, -2.71, 1.95, 2.44, 9.01, suppf,
2018-09-14,10.20, 94.51, 9.74, 1.66, 1.89, 8.03, suppf,
2018-09-15,10.69, 92.20, 11.86, 1.7, 1.83, 7.95, suppf,
2018-09-16,11.24, 87.94, 23.74, 1.78, 1.99, 8.49, suppf,
2018-09-17,9.68, 92.35, -0.29, 1.6, 1.74, 7.5, suppf,
2018-09-18,9.57, 94.23, 2.94, 1.65, 1.89, 7.94, suppf,
2018-09-19,10.23, 92.42, 4.31, 1.6, 1.75, 7.57, suppf,
2018-09-20,10.94, 93.49, 10.20, 1.71, 1.93, 8.16, suppf,
2018-09-21,8.58, 92.99, 14.35, 1.87, 2.09, 8.85, suppf,
2018-09-22,7.70, 93.61, -7.38, 1.85, 2.24, 8.66, suppf,
2018-09-23,10.34, 93.45, 11.23, 1.64, 1.81, 7.67, suppf,
2018-09-24,11.73, 93.46, 11.50, 1.65, 1.8, 7.68, suppf,
2018-09-25,10.59, 90.84, 6.64, 1.88, 2.11, 8.7, suppf,
2018-09-26,11.48, 93.45, -11.66, 1.94, 2.44, 9.23, suppf,
2018-09-27,10.97, 92.88, 8.59, 1.84, 2.17, 8.69, suppf,
2018-09-28,10.49, 91.08, -1.12, 1.8, 2.25, 8.7, suppf,
2018-09-29,10.84, 92.70, 2.93, 1.99, 2.25, 9.4, suppf,
2018-09-30,12.46, 91.46, -5.34, 3.15, 2.88, 13.88, suppf,
2018-10-01,9.82, 95.12, -0.37, 1.66, 1.89, 7.84, suppf,
2018-10-02,10.65, 91.20, 2.40, 1.66, 1.89, 7.82, suppf,
2018-10-03,12.96, 91.67, -0.01, 1.67, 1.79, 7.74, suppf,
2018-10-04,12.41, 91.33, 5.92, 1.74, 1.89, 8.27, suppf,
2018-10-05,11.22, 91.24, 3.06, 1.65, 1.83, 7.85, suppf,
2018-10-06,10.63, 93.58, 2.04, 1.65, 1.74, 7.63, suppf,
2018-10-07,9.98, 93.48, 6.39, 1.64, 1.74, 7.56, suppf,
2018-10-08,11.09, 93.63, 1.56, 1.62, 1.74, 7.58, suppf,
2018-10-09,11.06, 92.87, -6.64, 1.66, 1.89, 7.93, suppf,
2018-10-10,8.99, 94.94, 6.25, 1.75, 1.93, 8.26, suppf,
2018-10-11,12.06, 95.23, -7.14, 1.6, 1.74, 7.51, suppf,
2018-10-12,10.91, 93.16, 0.32, 1.61, 1.77, 7.58, suppf,
2018-10-13,11.74, 95.07, -8.19, 1.66, 1.85, 7.76, suppf,
2018-10-14,12.21, 93.75, -0.79, 1.68, 1.89, 8.03, suppf,
2018-10-15,9.75, 94.98, 4.27, 1.91, 2.1, 9.15, suppf,
2018-10-16,9.89, 95.17, -6.43, 1.65, 1.8, 7.77, suppf,
2018-10-17,11.79, 91.39, 1.09, 1.84, 2.11, 8.64, suppf,
2018-10-18,10.38, 95.84, -7.83, 1.91, 2.1, 9.1, suppf,
2018-10-19,11.83, 96.62, -3.95, 1.75, 2.06, 8.24, suppf,
2018-10-20,10.42, 95.24, -4.04, 1.7, 1.78, 7.98, suppf,
2018-10-21,11.51, 95.02, -0.34, 1.78, 2.01, 8.55, suppf,
2018-10-22,11.79, 94.23, 0.97, 1.72, 1.85, 8.34, suppf,
2018-10-23,11.98, 94.81, 1.80, 1.63, 1.78, 7.62, suppf,
2018-10-24,11.52, 93.57, -4.07, 1.74, 1.84, 8.18, suppf,
2018-10-25,10.17, 94.79, 2.00, 1.6, 1.74, 7.47, suppf,
2018-10-26,10.75, 94.88, -4.77, 1.61, 1.75, 7.56, suppf,
2018-10-27,10.82, 93.64, -3.91, 1.62, 1.76, 7.56, suppf,
2018-10-28,11.21, 94.41, 8.10, 1.9, 2.17, 9.16, suppf,
2018-10-29,10.66, 94.57, -2.70, 1.75, 1.96, 8.23, suppf,
2018-10-30,12.14, 93.34, 9.96, 1.65, 1.78, 7.74, suppf,
2018-10-31,11.72, 93.38, 6.40, 1.61, 1.75, 7.53, suppf,
2018-11-01,11.30, 95.09, 11.79, 1.61, 1.74, 7.57, suppf,
2018-11-02,9.18, 96.31, 6.17, 1.86, 2.07, 8.86, suppf,
2018-11-03,12.10, 94.46, -1.32, 1.64, 1.85, 7.71, suppf,
2018-11-04,8.74, 95.43, 3.76, 1.7, 1.95, 8.02, suppf,
2018-11-05,9.01, 91.39, 12.41, 1.89, 2.29, 9.2, suppf,
2018-11-06,12.13, 93.90, 8.23, 1.9, 2.06, 8.98, suppf,
2018-11-07,9.85, 94.98, 1.22, 1.7, 1.8, 8.09, suppf,
2018-11-08,7.61, 92.97, 1.77, 1.74, 1.9, 8.25, suppf,
2018-11-09,9.53, 93.68, -0.42, 1.62, 1.79, 7.58, suppf,
2018-11-10,9.65, 93.19, 13.29, 1.72, 1.82, 8.04, suppf,
2018-11-11,8.93, 95.12, -3.58, 1.84, 1.99, 8.56, suppf,
2018-11-12,9.51, 96.07, 13.66, 2.28, 2.8, 10.5, suppf,
2018-11-13,8.85, 97.32, -0.65, 1.88, 2.17, 9.21, suppf,
2018-11-14,8.47, 96.14, 6.94, 1.73, 1.81, 8.12, suppf,
2018-11-15,10.46, 93.23, 11.71, 1.72, 1.95, 8.14, suppf,
2018-11-16,10.54, 93.88, 13.26, 1.67, 1.84, 7.95, suppf,
2018-11-17,11.38, 96.82, 0.16, 1.72, 1.9, 8.01, suppf,
2018-11-18,9.16, 96.12, 6.25, 1.76, 1.89, 8.37, suppf,
2018-11-19,8.79, 93.51, -1.80, 1.63, 1.78, 7.6, suppf,
2018-11-20,11.71, 94.49, 5.84, 1.65, 1.83, 7.77, suppf,
2018-11-21,9.28, 94.26, 0.86, 1.61, 1.78, 7.53, suppf,
2018-11-22,9.44, 95.16, 3.06, 1.62, 1.77, 7.57, suppf,
2018-11-23,8.01, 96.80, 1.81, 1.76, 1.86, 8.36, suppf,
2018-11-24,9.87, 95.33, 14.32, 1.65, 1.81, 7.72, suppf,
2018-11-25,9.80, 94.95, 8.72, 1.65, 1.8, 7.66, suppf,
2018-11-26,10.21, 96.50, 11.00, 1.61, 1.76, 7.5, suppf,
2018-11-27,10.46, 95.88, 9.25, 1.66, 1.81, 7.75, suppf,
2018-11-28,10.49, 96.41, 0.54, 1.63, 1.77, 7.61, suppf,
2018-11-29,9.11, 97.89, 2.51, 1.64, 1.8, 7.74, suppf,
2018-11-30,8.86, 94.95, 11.84, 1.69, 1.83, 7.83, suppf,
2018-12-01,12.00, 95.32, 20.85, 1.61, 1.77, 7.58, suppf,
2018-12-02,10.72, 96.68, 17.16, 1.61, 1.77, 7.6, suppf,
2018-12-03,8.84, 95.78, 0.75, 1.86, 2.08, 8.51, suppf,
2018-12-04,9.14, 95.80, 16.90, 1.64, 1.77, 7.72, suppf,
2018-12-05,7.25, 96.30, 6.51, 1.63, 1.78, 7.68, suppf,
2018-12-06,8.64, 94.43, -2.26, 1.89, 2.29, 9, suppf,
2018-12-07,8.56, 94.06, 7.16, 1.78, 2.14, 8.55, suppf,
2018-12-08,8.98, 95.54, 1.67, 1.64, 1.86, 7.78, suppf,
2018-12-09,9.40, 98.42, 4.64, 1.62, 1.76, 7.6, suppf,
2018-12-10,8.89, 96.53, 6.45, 1.66, 1.81, 7.74, suppf,
2018-12-11,9.54, 97.41, 8.11, 1.63, 1.77, 7.62, suppf,
2018-12-12,7.77, 99.19, 13.96, 1.61, 1.75, 7.49, suppf,
2018-12-13,9.36, 96.30, 7.80, 1.69, 1.9, 7.86, suppf,
2018-12-14,10.72, 96.63, 13.91, 1.62, 1.79, 7.6, suppf,
2018-12-15,9.61, 95.68, 16.70, 1.66, 1.78, 7.79, suppf,
2018-12-16,9.67, 97.02, 6.41, 1.62, 1.83, 7.67, suppf,
2018-12-17,10.13, 97.70, 3.60, 1.65, 1.84, 7.83, suppf,
2018-12-18,8.71, 97.13, 3.07, 1.61, 1.76, 7.49, suppf,
2018-12-19,9.99, 96.16, 5.53, 1.65, 1.85, 7.89, suppf,
2018-12-20,9.39, 98.24, 2.48, 1.63, 1.77, 7.63, suppf,
2018-12-21,8.86, 98.06, 2.64, 1.66, 1.85, 7.86, suppf,
2018-12-22,10.64, 98.13, 9.38, 1.58, 1.71, 7.34, suppf,
2018-12-23,8.57, 96.75, 10.20, 1.71, 1.97, 7.99, suppf,
2018-12-24,9.94, 96.07, 11.87, 1.68, 1.94, 8.09, suppf,
2018-12-25,7.62, 97.56, 3.97, 1.66, 1.91, 7.93, suppf,
2018-12-26,10.00, 98.15, 10.62, 1.67, 1.9, 7.79, suppf,
2018-12-27,11.63, 96.63, 9.75, 1.77, 1.91, 8.57, suppf,
2018-12-28,12.93, 99.05, 10.96, 1.77, 1.99, 8.42, suppf,
2018-12-29,11.30, 94.94, 14.05, 1.68, 1.87, 7.89, suppf,
2018-12-30,12.08, 96.99, 9.40, 1.63, 1.78, 7.61, suppf,
2018-12-31,9.39, 97.90, 4.26, 1.66, 1.87, 7.86, suppf,
2019-01-01,9.05, 97.56, 1.02, 1.65, 1.84, 7.72, suppf,
2019-01-02,9.58, 100.11, 8.72, 1.64, 1.79, 7.7, suppf,
2019-01-03,10.96, 98.94, 7.84, 1.59, 1.73, 7.38, suppf,
2019-01-04,12.33, 99.12, 1.83, 1.61, 1.77, 7.56, suppf,
2019-01-05,11.13, 99.24, 3.32, 1.63, 1.77, 7.61, suppf,
2019-01-06,8.12, 97.84, 4.90, 1.69, 1.82, 7.84, suppf,
2019-01-07,10.46, 96.85, 12.29, 1.61, 1.75, 7.61, suppf,
2019-01-08,8.26, 99.05, 5.61, 1.61, 1.77, 7.56, suppf,
2019-01-09,8.74, 99.60, 2.45, 1.61, 1.77, 7.53, suppf,
2019-01-10,10.46, 101.10, 0.80, 1.71, 1.9, 8.2, suppf,
2019-01-11,9.84, 97.30, -6.62, 1.75, 1.9, 8.26, suppf,
2019-01-12,6.37, 97.73, -5.24, 1.67, 1.88, 7.88, suppf,
2019-01-13,8.17, 100.70, 0.06, 1.77, 1.88, 8.41, suppf,
2019-01-14,10.34, 101.22, 8.34, 1.6, 1.72, 7.4, suppf,
2019-01-15,8.25, 99.62, -0.05, 1.6, 1.72, 7.53, suppf,
2019-01-16,8.65, 100.40, 7.16, 1.61, 1.72, 7.5, suppf,
